STATE,CNTY,NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
21,191,Pendleton,3.5,4.5,4.9,6.2,4.9,5.7,5.6,5.8,7.7,12.3,12.5,10.7,8.6,8.1
21,193,Perry,6.7,6.6,7.9,8.9,7.7,7.1,6.9,7,6.8,10.7,11.1,10,11.9,13.3
21,195,Pike,6.1,5.6,6.8,7.8,6.5,6.2,5.9,5.9,5.8,9.6,9.8,8.5,9.1,11.4
21,197,Powell,4.9,7,7,9,8.2,7.7,7.2,6.6,8.6,15.5,14.4,11.9,10,9.8
21,199,Pulaski,4.3,6.6,7.1,6.8,5.4,6,6.5,5.9,6.7,10.3,10.4,10.5,9.3,9.2
21,201,Robertson,4.4,4.7,5.1,5.9,5.8,7,5.3,4.8,6.1,9.9,9.6,9,8.3,9
21,203,Rockcastle,4.7,6.4,5.7,5.6,5.6,7.1,6.8,6.6,7.3,13.2,10.5,11.4,9.1,7.9
21,205,Rowan,4.3,5.9,5.7,5.3,5,5.8,5.7,5.3,6,9.1,8.9,8.3,7.2,7.2
21,207,Russell,5.7,6.2,7.7,7.4,6,6.6,6.5,6.1,7.3,12,11.1,10,8.8,9.7
21,209,Scott,3.1,3.9,4.8,5.4,4.5,4.9,4.7,4.4,5.4,9.6,9.2,8.4,6.9,6.5
21,211,Shelby,3,4.3,4.7,5.1,4.4,5.2,5.2,4.7,5.7,9.4,9,8.2,6.5,6.6
21,213,Simpson,3.4,5.4,5.8,5.6,4.8,5.6,5.7,5.1,6.4,12.9,12.3,10.3,7.9,6.9
21,215,Spencer,3,4.1,4.2,4.5,4.6,5.3,6,6,7.3,10.3,10.5,9.5,7.5,6.9
21,217,Taylor,5.2,5.1,5.3,5.7,5.1,5.3,4.7,5.3,6.1,10.4,10.2,8.9,7.7,7.6
21,219,Todd,4.1,6.5,5,4.4,4.5,6.5,9.5,6.5,7.1,11.9,10.6,9,7.9,7.9
21,221,Trigg,4.5,5.7,6.5,5.9,5,6.6,5.7,5.8,7.7,15.4,11.7,9.9,8.8,9.4
21,223,Trimble,3.8,5.3,4.9,5.6,5.4,6.4,6.7,6.2,7.3,11.7,12.9,10.1,8.2,7.9
21,225,Union,4.7,5.5,5.2,6.2,5.4,6,5.9,5.5,6.5,11.4,8.8,8,6.9,6.9
21,227,Warren,3.7,4.7,5.1,5.4,4.5,4.9,4.8,4.3,5.4,9.9,9,8.2,6.9,6.8
21,229,Washington,4.1,5.9,5.8,5.7,5.5,6,5.8,5.6,7.2,13,11.3,10.3,8.4,8
21,231,Wayne,5.5,7.3,6.5,6.6,5.5,6.1,6.7,6.5,8.3,13.8,13.5,13.6,12.3,11.3
21,233,Webster,4.6,4.6,5.1,6.6,4.3,5,5.1,5.8,6.3,9.6,9.2,8,7.6,7.1
21,235,Whitley,4.9,6,7,7.3,5.7,6,6.1,6.4,7.3,11.3,11,10.7,9.4,9.5
21,237,Wolfe,8.4,8.7,8.2,9.6,9.6,10,9.4,9.7,9.8,13.4,14.6,13.2,12.5,12.6
21,239,Woodford,2.7,3.9,4,4,3.7,4.2,4.2,3.9,4.8,8.2,7.9,7.3,5.9,5.9
